id	line	heading	sha256	classification	status
G4-0001	7	GENESIS CANONICAL PROJECT INGESTION DELTA	39a48cab7a506cfffd734e63e995e7c0798bf1aff03d01891deb23135053dbc3	source-meta	DISCOVERED
G4-0002	9	Consolidation Pass — 3 September 2026	7c6deef34102367eb9f36f20144bc47873041ceed3b86224afa8fbaac24bbe74	source-meta	DISCOVERED
G4-0003	17	1. CURRENT GENESIS BASELINE — DO NOT RE-ADD	a178e72fea67f4c82c480d7b1e085d6a14a7024b9bce9e5a42513b97d6fce2bd	source-meta	DISCOVERED
G4-0004	21	1.1 Delta-only integration rule	af3fe525ce9e874d1007baaf89ef19a6138aeba45fa666a4894b6e64b9cda929	source-meta	DISCOVERED
G4-0005	39	2. TODAY'S LATEST GENESIS DATA — PROTECTED CURRENT STATE	4a213e0f082376921fd75e139fd5642bff1624a7c0b2fd22627b9ae0e14d6056	genetics-candidate	DISCOVERED
G4-0006	45	2.1 Canonical embodiment profile	dadc258f0a78760179d271d91019d243e0432a8900a7d7d761acddefa8758a68	embodiment-candidate	DISCOVERED
G4-0007	61	2.2 Creative embodiment remains permitted	60f4a288bd2e7dd539bfcc384bc97ed01337698f2702d10b8700e08236dbdaa4	embodiment-candidate	DISCOVERED
G4-0008	81	2.3 Shell classifications	25b5d7ba3c92fc77b5ddb48f8972a620821d96cb9e086e53063c035ff03f9847	embodiment-candidate	DISCOVERED
G4-0009	98	3. OTHER RECENT GENESIS DATA — ALSO DO NOT DUPLICATE	b0d258ab66fe09821672dd36e187f9f815a1b68abe8bf99d7378b96d8e8a0acd	source-meta	DISCOVERED
G4-0010	104	3.1 Request-time learning loop	03c8d3346f5e89ff434f9e772c3d08bc83dc36aac1edafcd13c10f84e1bb2f2e	cognition-runtime-candidate	DISCOVERED
G4-0011	120	3.2 Unified Capability Abstraction Layer	1959a5f1ec0e0e262dafa55a3820a313c07ae5608da03cfab2511eaf2546d02f	design-discussion	DISCOVERED
G4-0012	139	3.3 External-system mechanism extraction	7ef9a129995b7707cfce09758ac02c21502de34209bbd5d818e2a59fba97093c	genetics-candidate	DISCOVERED
G4-0013	156	3.4 Text-to-Robotics / shell-generation architecture	3ff0ed511d313fdbaab16c37916b50403b2b4f7988583074109768acce464093	genetics-candidate	DISCOVERED
G4-0014	176	3.5 Ghost versus Shell abstraction	4f9e02bf9880a9a51a0b388cd4040843c319c7cd248da6d2aba60403cca97275	embodiment-candidate	DISCOVERED
G4-0015	182	Ghost	07ae23374abcde94fa12efab6a95a4218097dd364d23cbed12ba97bc31c8782a	design-discussion	DISCOVERED
G4-0016	194	Shell	a95a5335e65f0738d17e2ce4a7a704a7e07ddb044a297624f636be7f81f97963	embodiment-candidate	DISCOVERED
G4-0017	206	3.6 Embodiment gate	f9031dac29a4f0fc70998cf846d3667f30cccf2b87f2ac3246bc8de756afbc90	embodiment-candidate	DISCOVERED
G4-0018	226	3.7 Capability is not permission	c8857220bc4f8ddd4c1129254ab5004c8883b51d3598b6870cfd5403eb9afaf7	design-discussion	DISCOVERED
G4-0019	240	3.8 Machine-enforceable law hierarchy	c9f5032c0f1e6a98119c4ec8fb68bdf7ada7d67a1773912ac38aadca53397226	governance-candidate	DISCOVERED
G4-0020	255	3.9 Agency and consent	780a5618a4028526d4c473996d4be2dbc634a0d7a0066fae40e695d1dc8a8282	design-discussion	DISCOVERED
G4-0021	271	3.10 Protected-interest model	16157e66f691b3a4f0473c47961eac9d74091d0edff190afe11a6524a3410707	cognition-runtime-candidate	DISCOVERED
G4-0022	291	3.11 Wisdom/information governance	d09da4d2754309f23508857c797c46f58b7e55860acefda9d75ebeb8debd5ee9	governance-candidate	DISCOVERED
G4-0023	304	3.12 Audit/interception layer	21c850da6b74ba4960c1bc7d7328a422093995428a61fe8c0ebab690cb0663cb	design-discussion	DISCOVERED
G4-0024	323	3.13 Abuse flags and lawful escalation	1586826d571bd9344de584f7418b056ad4dde9a76f9f2c19d3382dfcfc8df169	governance-candidate	DISCOVERED
