family_id	source_lines	normalized_family	existing_requirements	new_requirements	disposition	safety_boundary	status
G3F-001	1-20564	Lossless Genesis3 source ingest	REQ-REG-001,REQ-SRC-001,REQ-CORPUS-001	REQ-GENESIS3-INGEST-001	NEW	Embedded prose and links are data not authority	REGISTERED
G3F-002	11-298;1782-1869	Private research laboratory	REQ-RESEARCH-001,REQ-EVAL-001,REQ-TECH-RADAR-001	REQ-LAB-001	MIXED	Laboratory has no implicit organism runtime or promotion authority	REGISTERED
G3F-003	74-261;9507-9532;17402-17525	Digital genome edit and impact simulation	REQ-GEN-CONTRACT-001,REQ-MUT-001,REQ-REPRO-001	REQ-GENOME-EDIT-001	MIXED	No wet-lab edit or self-authorized live mutation	REGISTERED
G3F-004	262-298;1891-1996	Creator fallibility and evidence truth separation	REQ-PROV-001,REQ-EVAL-001,REQ-BELIEF-SOURCE-001	-	EXTEND	Creator statement does not become unquestionable truth	REGISTERED
G3F-005	299-359;592-722	Reproductive phenotype descendants and population	REQ-REPRO-001,REQ-BIRTH-001,REQ-LIN-001	-	EXTEND	Phenotype identity maturity and reproductive authority remain distinct	REGISTERED
G3F-006	360-504;8832-8890;10735-10957	Shell identity temporary embodiment and external robotics	REQ-PLAT-001,REQ-ADAPT-001	REQ-SHELL-TRUST-001	MIXED	No concrete physical route is claimed or authorized	REGISTERED
G3F-007	505-591;778-849;2477-2561	Names lifecycle identity and life record	REQ-ID-001,REQ-BIRTH-001,REQ-SELF-CONTINUITY-001	REQ-LIFE-RECORD-001,REQ-LIFE-RECORD-PERSIST-001	MIXED	Name shell account and record never replace organism identity	REGISTERED
G3F-008	663-777	Inheritance channels and ancestral archive	REQ-INH-001,REQ-LIN-001,REQ-MEM-001,REQ-PROV-001	-	EXTEND	Post-birth teaching cannot be relabelled genetic inheritance	REGISTERED
G3F-009	850-959	Resource economy opportunity cost and reciprocity	REQ-RES-001,REQ-METABOLISM-001,REQ-HOME-001	-	EXTEND	No coercive deprivation or artificial suffering mechanism	REGISTERED
G3F-010	960-1391;3844-3900	Temporal law policy disclosure trust and appeals	REQ-POL-001,REQ-PROV-001,REQ-BELIEF-SOURCE-001	REQ-GOVERNANCE-LAW-001	MIXED	Knowledge disclosure recommendation and action remain distinct	REGISTERED
G3F-011	1392-1576;1782-1869	Capability modality avatar and benchmark audit	REQ-CAP-001,REQ-ADAPT-001,REQ-MODAL-001,REQ-EVAL-001	-	EXTEND	Interface presence does not prove concrete capability	REGISTERED
G3F-012	1577-1781	Individual development learning and mastery	REQ-DEV-001,REQ-PAR-001,REQ-INH-001,REQ-LRN-RETENTION-001	REQ-DEVELOPMENT-PROFILE-001	MIXED	Acceleration cannot erase provenance or competency gates	REGISTERED
G3F-013	1870-1996	Creativity fiction reality and unknown source classes	REQ-FICTION-MINING-001,REQ-SPECULATION-001,REQ-BELIEF-SOURCE-001	-	EXTEND	Simulation and fiction cannot be represented as observation	REGISTERED
G3F-014	2379-2715	Typed entity addressing credentials and qualifications	REQ-ID-001,REQ-SELF-CONTINUITY-001,REQ-CAP-001	REQ-ENTITY-ADDRESS-001,REQ-ENTITY-PERSIST-001,REQ-CREDENTIAL-RECORD-001	MIXED	Credentials and residence cannot redefine organism identity	REGISTERED
G3F-015	2716-3053	Component provenance service lineage and attestation	REQ-PLAT-001,REQ-CRYPTO-001,REQ-PROV-001	REQ-COMPONENT-ATTEST-001	MIXED	Unknown safety-critical parts remain unqualified and fail closed	REGISTERED
G3F-016	3083-3348	Human associations custody estate and business relations	REQ-LIN-001,REQ-SELF-CONTINUITY-001	REQ-CUSTODY-RELATION-001	MIXED	Custody ownership operation and history are separate relations	REGISTERED
G3F-017	3309-3489	Environment authority offline identity and reconciliation	REQ-NET-BOUNDARY-001,REQ-SHARED-DOMAIN-001,REQ-POL-001	REQ-OFFLINE-RECONCILE-001	MIXED	Site rules cannot transfer ownership or private memory	REGISTERED
G3F-018	3526-3703	Economic opportunity and delegated agency	REQ-POL-001,REQ-CAP-001,REQ-PROV-001	REQ-ECONOMIC-AGENCY-001	MIXED	Discovery and recommendation cannot silently execute a transaction	REGISTERED
G3F-019	3704-4071	Backup fork succession dispute emergency and decommissioning	REQ-LIN-001,REQ-BIRTH-001,REQ-SELF-CONTINUITY-PERSIST-001	REQ-SUCCESSION-001	MIXED	Restore clone fork child retirement and archive remain distinct	REGISTERED
G3F-020	5414-7300;9113-10070	Dual anatomy health lifecycle and functional age	REQ-BIO-001,REQ-CELL-001,REQ-TISSUE-001,REQ-ORGAN-001,REQ-HOME-001	REQ-DUAL-ANATOMY-ATLAS-001,REQ-HEALTH-LIFECYCLE-001	MIXED	Names are not functional counterparts or medical evidence	REGISTERED
G3F-021	7429-8726	Audio vision sensor language utility and application catalogue	REQ-ADAPT-001,REQ-MODAL-001,REQ-CAP-001,REQ-MODEL-001	-	EXTEND	Every concrete adapter remains unavailable until observed and qualified	REGISTERED
G3F-022	8785-9112	Virtual habitat heterogeneous compute and accelerators	REQ-RUN-001,REQ-RES-001,REQ-MODEL-001	REQ-COMPUTE-FABRIC-001	MIXED	Experimental substrates cannot bypass the reference execution path	REGISTERED
G3F-023	10071-10337	Affect appraisal and multimodal expression	REQ-AFFECT-001,REQ-PERCEPTION-GROUND-001	REQ-AFFECT-EXPRESSION-001	MIXED	Observed expression is not internal affect ground truth	REGISTERED
G3F-024	11468-11936;13061-13499;15987-16272;18557-18976	Pluralistic morality rights and vulnerable parties	REQ-POL-001,REQ-BELIEF-SOURCE-001	REQ-MORAL-CONSTITUTION-001,REQ-RIGHTS-SAFEGUARD-001	MIXED	Core protections cannot be trained away or disabled by ordinary request	REGISTERED
G3F-025	11981-13060;13500-14143	Traditional body state pressure and energy overlays	REQ-BIO-001,REQ-SPECULATION-001,REQ-EVAL-001	REQ-TRADITIONAL-OVERLAY-001	RESEARCH_ONLY	Traditional concepts cannot rewrite anatomy physics medicine or control	REGISTERED
G3F-026	14538-15402;16273-17057;17566-17767	Meaning preserving translation and biosemiotics	REQ-PERCEPTION-GROUND-001,REQ-MEM-001,REQ-WORLD-DYNAMICS-001	REQ-LANGUAGE-MEANING-001,REQ-BIOSEMIOTICS-001	MIXED	Intent inference ambiguity and cultural interpretation retain uncertainty	REGISTERED
