id	line	heading	sha256	classification	status
G3-0001	1	GENESIS — NEW-DATA DELTA FOR CODEX	6dcb67b9d54612807e4c3ecf950666ca185918269ad368dd5c363f7a42687103	source-meta	DISCOVERED
G3-0002	3	3 September 2026 — Morning Voice Session	fe9313f4ce959a32132e5a7a62d4c777bd47f6d5b197d6adefb5b2f54f650869	source-meta	DISCOVERED
G3-0003	5	Delta only: do not duplicate existing canonical requirements, implemented systems, or pending backlog	e1e286c017f9ac0d065e9977ffda37b63450670bf15c2db1032eef98fbb6bb6c	source-meta	DISCOVERED
G3-0004	11	A. GENESIS PRIVATE DIGITAL LAB / CREATOR CONTROL PLANE	9223f20eb5d662854a425c9bd71c814224c7169b40a0080640fcbb53cbfbdf72	research-candidate	DISCOVERED
G3-0005	74	B. DIGITAL GENOME EDITING / CRISPR-ANALOGUE LAB	c84aacce49e4b900aeeb5fd5cf23baacb2b62f9b5731caa3b961bca991a64970	research-candidate	DISCOVERED
G3-0006	131	C. LIVING GENETIC KNOWLEDGE ATLAS	fea2e1f785dc2a63f99caad7886e63841c761c8369865f254c4a8893e02bb8b7	genetics-candidate	DISCOVERED
G3-0007	177	D. GENETIC EDIT → WHOLE-ORGANISM IMPACT	1751cf967a6928c97c3af3b01ecb559f2f0b02aca54dd03c3c8c48d84e463913	genetics-candidate	DISCOVERED
G3-0008	215	E. GENETIC VARIANT / EVOLUTIONARY BRANCH LAB	57701dca89100009ae476ff19598f3ff8ca443acff7cc06377310b7ea4cb8f8b	research-candidate	DISCOVERED
G3-0009	262	F. CREATOR FALLIBILITY / INCOMPLETE-CREATION RECORD	f790c70922b9d94592d5708812622ba831054655b71650507679385bee180627	design-discussion	DISCOVERED
G3-0010	299	G. SEX / REPRODUCTIVE BODY PROFILE	1f807fe9e624d29d94ae33e130d930f2a148a050dc13ed8ca52aa744ffe5e123	genetics-candidate	DISCOVERED
G3-0011	336	H. HUMAN-FORM SHELL SEX-SELECTION GATE	9716d0fadc2bfcb9c3f8b08340c951826a2f8fb86936d3856683c7258a4231fa	embodiment-candidate	DISCOVERED
G3-0012	360	I. CANONICAL SHELL VS TEMPORARY EMBODIMENT	bb61e5040c05c31ce62bb2083ca86b7f325dc9bd21e6bda1ef5b8e687ccc632a	embodiment-candidate	DISCOVERED
G3-0013	392	J. USER-MANUFACTURED SHELLS	3b68924967adfce722858b989c20aa657d21f1c755f6d41117df8f3231ebcc13	embodiment-candidate	DISCOVERED
G3-0014	433	K. TEXT-TO-ROBOTICS MUST REMAIN IN THE ARCHITECTURE	3f2088d9fe76053b3cc25d6b2ddca74b59f0a4a5d069c57028dbe7d7de6692a4	embodiment-candidate	DISCOVERED
G3-0015	481	L. SHELL COMPATIBILITY & ANTI-DECEPTION	a0d3036b9ea713f695e6b5a52468debde3d0bf9fdcb89fc521c7a0f3895fd181	embodiment-candidate	DISCOVERED
G3-0016	505	M. ONBOARDING / BIRTH PROCESS	15c59ef3314a7d02cc31a48f9cc82e69c61c7bd57aff0fe21bdbc94700304013	design-discussion	DISCOVERED
G3-0017	548	N. PERSISTENT NAME & NAME-CHANGE HISTORY	b81e32d099684578e234b3c7fdfb975afedf5ce4c4193f39761c700c56071540	design-discussion	DISCOVERED
G3-0018	592	O. SPECIES / POPULATION ARCHITECTURE	f1a4813b5e7494677a35b49b85fb922fbcc092ce0302bf0ca236ebd005519119	genetics-candidate	DISCOVERED
G3-0019	620	P. DIGITAL MATING / REPRODUCTION	f4aeb3adefdf18d2f809d0ca6291f15312102763739cadb6555d55eacc5e4de7	genetics-candidate	DISCOVERED
G3-0020	663	Q. FOUR CHANNELS OF GENERATIONAL INHERITANCE	656acfc1a1acf7b66e15cd0660c1c41eea4a06bb814ddafb29485843b8b98785	genetics-candidate	DISCOVERED
G3-0021	686	R. ANCESTRAL LEGACY ARCHIVE	92cc7609ca9af169b6a803bdcb90abf86751a36abaefa17b86aed0eaee926d62	design-discussion	DISCOVERED
G3-0022	723	S. CONTENT-ADDRESSED IMMUTABLE EVIDENCE ARCHIVE	ffafe2c0949599da41f45296c35971d88b25688c95496dd69d5c6cd1d2517a58	design-discussion	DISCOVERED
G3-0023	758	T. MULTI-REPLICA HISTORICAL PRESERVATION	6588f7b6b899ad2ebe5596ebc244a87870caf2d68ca956333e5687fd2ac40b58	design-discussion	DISCOVERED
G3-0024	778	U. NATURALISTIC LIFE-CYCLE CONSTRAINT MODEL	05079b939a57b92293715ee46b02602e86895fc61837b5260529c2de06f8d6b9	cognition-runtime-candidate	DISCOVERED
G3-0025	821	V. VESSEL LIFETIME ≠ IDENTITY LIFETIME	7b6112155d2e82ca86fbe01f67e26eaab6a2d4dc26da9437dd88b0abbc5a9ce3	identity-candidate	DISCOVERED
G3-0026	850	W. ENERGY / RESOURCE ECONOMY	95828bb1f4c37d18c1d364fa4ef38b3cb36989d8092617b85bfa5c3a969fd459	organism-candidate	DISCOVERED
G3-0027	885	X. OPPORTUNITY COST	e639f79200145067c6b4ad4c352c8d123c5326b55c2208eaa0226694e0ed4886	design-discussion	DISCOVERED
G3-0028	921	Y. EFFORT / EARNING / RECIPROCITY MODEL	367ce93fa4d1371f449cc251dd3bf876e07f4aa5ee706e1272ca23d508c9d42e	cognition-runtime-candidate	DISCOVERED
G3-0029	960	Z. REQUESTS ARE NOT ABSOLUTE COMMANDS	3d681fe7dc43cf0e5695c4436ece8e323b6605ac175b880c607bf7c5fc5eb8c1	design-discussion	DISCOVERED
G3-0030	994	AA. KNOWLEDGE ≠ DISCLOSURE ≠ EXECUTION	f41dc716e5ff2be2f262b952269e2d2ad12b65a547f204a724a70b0ad88065e9	cognition-runtime-candidate	DISCOVERED
G3-0031	1023	AB. INFORMATION-RISK GOVERNANCE	3b4928757ab4a451342a9d8da37ee3a039c0454443121fdf1e2958bb3bb12376	governance-candidate	DISCOVERED
G3-0032	1071	AC. WISDOM / JUDGMENT LAYER	3708eadf4edb7a0f80b37c2c60135bb25eea839417bfbd597f29a0551d10e8b3	design-discussion	DISCOVERED
